Sentença	Id	Index	Granularidade	Documento
Depois de 20 dias de tempo seco, voltou a chover na capital paulista.	1	0	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira, 16, e fez com que o Centro de Gerenciamento de Emergência (CGE) da Prefeitura colocasse a cidade em estado de atenção.	1	1	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
Até 9h30m foram registrados oito pontos de alagamento, dois deles intransitáveis - na Marginal Pinheiros, na altura da Ponte João Dias, e na Marginal Tietê, no acesso à Rodovia dos Bandeirantes.	1	2	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
Às 9 horas, a cidade tinha 113 km de lentidão, sendo que a média para o horário é de 82 km, segundo a Companhia de Engenharia de Tráfego (CET).	1	3	0	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
0	1	-1	1	Depois de 20 dias de tempo seco , voltou a chover na capital paulista . A forte chuva em São Paulo complicava o trânsito na manhã desta segunda-feira , 16 , e fez com que o Centro de Gerenciamento de Emergência ( CGE ) da Prefeitura colocasse a cidade em estado de atenção . Até 9h30 m foram registrados oito pontos de alagamento , dois deles intransitáveis - na Marginal Pinheiros , na altura da Ponte João Dias , e na Marginal Tietê , no acesso à Rodovia dos Bandeirantes . Às 9 horas , a cidade tinha 113 km de lentidão , sendo que a média para o horário é de 82 km , segundo a Companhia de Engenharia de Tráfego ( CET ) .
Ao menos 17 pessoas morreram após a queda de um avião de passageiros na República Democrática do Congo.	2	0	0	Ao menos 17 pessoas morreram após a queda de um avião de passageiros na República Democrática do Congo . Todos morreram quando o avião , prejudicado pelo mau tempo , não conseguiu chegar à pista de aterrissagem e caiu numa floresta a 15 quilômetros do aeroporto de Bukavu . Ele havia saído da cidade mineira de Lugushwa em direção a Bukavu , numa distância de 130 quilômetros .
Todos morreram quando o avião, prejudicado pelo mau tempo, não conseguiu chegar à pista de aterrissagem e caiu numa floresta a 15 quilômetros do aeroporto de Bukavu.	2	1	0	Ao menos 17 pessoas morreram após a queda de um avião de passageiros na República Democrática do Congo . Todos morreram quando o avião , prejudicado pelo mau tempo , não conseguiu chegar à pista de aterrissagem e caiu numa floresta a 15 quilômetros do aeroporto de Bukavu . Ele havia saído da cidade mineira de Lugushwa em direção a Bukavu , numa distância de 130 quilômetros .
Ele havia saído da cidade mineira de Lugushwa em direção a Bukavu, numa distância de 130 quilômetros.	2	2	0	Ao menos 17 pessoas morreram após a queda de um avião de passageiros na República Democrática do Congo . Todos morreram quando o avião , prejudicado pelo mau tempo , não conseguiu chegar à pista de aterrissagem e caiu numa floresta a 15 quilômetros do aeroporto de Bukavu . Ele havia saído da cidade mineira de Lugushwa em direção a Bukavu , numa distância de 130 quilômetros .
1	2	-1	1	Ao menos 17 pessoas morreram após a queda de um avião de passageiros na República Democrática do Congo . Todos morreram quando o avião , prejudicado pelo mau tempo , não conseguiu chegar à pista de aterrissagem e caiu numa floresta a 15 quilômetros do aeroporto de Bukavu . Ele havia saído da cidade mineira de Lugushwa em direção a Bukavu , numa distância de 130 quilômetros .
O ministro da Defesa, Nelson Jobim, informou no fim da noite desta terça-feira que a economista Solange Vieira, de 38 anos, será a nova presidente da Agência Nacional de Aviação Civil (Anac).	3	0	0	O ministro da Defesa , Nelson Jobim , informou no fim da noite desta terça-feira que a economista Solange Vieira , de 38 anos , será a nova presidente da Agência Nacional de Aviação Civil ( Anac ) . Braço direito do peemedebista desde sua posse , ela é funcionária de carreira do BNDES e comandou a Secretaria de Previdência Complementar no governo Fernando Henrique Cardoso . Como os diretores de agências têm mandato de cinco anos , só podem sair por renúncia , decisão judicial ou acusação de improbidade administrativa . Uma da três vagas será ocupada pelo major-brigadeiro Allemander Jesus Pereira Filho , indicado para exercer o cargo em substituição a Jorge Luiz Brito Velozo , que pediu demissão no final do mês passado . Cobrado por familiares de vítimas do acidente da TAM e pela oposição , dificilmente o relator irá sugerir o indiciamento de Zuanazzi .
Braço direito do peemedebista desde sua posse, ela é funcionária de carreira do BNDES e comandou a Secretaria de Previdência Complementar no governo Fernando Henrique Cardoso.	3	1	0	O ministro da Defesa , Nelson Jobim , informou no fim da noite desta terça-feira que a economista Solange Vieira , de 38 anos , será a nova presidente da Agência Nacional de Aviação Civil ( Anac ) . Braço direito do peemedebista desde sua posse , ela é funcionária de carreira do BNDES e comandou a Secretaria de Previdência Complementar no governo Fernando Henrique Cardoso . Como os diretores de agências têm mandato de cinco anos , só podem sair por renúncia , decisão judicial ou acusação de improbidade administrativa . Uma da três vagas será ocupada pelo major-brigadeiro Allemander Jesus Pereira Filho , indicado para exercer o cargo em substituição a Jorge Luiz Brito Velozo , que pediu demissão no final do mês passado . Cobrado por familiares de vítimas do acidente da TAM e pela oposição , dificilmente o relator irá sugerir o indiciamento de Zuanazzi .
Como os diretores de agências têm mandato de cinco anos, só podem sair por renúncia, decisão judicial ou acusação de improbidade administrativa.	3	2	0	O ministro da Defesa , Nelson Jobim , informou no fim da noite desta terça-feira que a economista Solange Vieira , de 38 anos , será a nova presidente da Agência Nacional de Aviação Civil ( Anac ) . Braço direito do peemedebista desde sua posse , ela é funcionária de carreira do BNDES e comandou a Secretaria de Previdência Complementar no governo Fernando Henrique Cardoso . Como os diretores de agências têm mandato de cinco anos , só podem sair por renúncia , decisão judicial ou acusação de improbidade administrativa . Uma da três vagas será ocupada pelo major-brigadeiro Allemander Jesus Pereira Filho , indicado para exercer o cargo em substituição a Jorge Luiz Brito Velozo , que pediu demissão no final do mês passado . Cobrado por familiares de vítimas do acidente da TAM e pela oposição , dificilmente o relator irá sugerir o indiciamento de Zuanazzi .
Uma da três vagas será ocupada pelo major-brigadeiro Allemander Jesus Pereira Filho, indicado para exercer o cargo em substituição a Jorge Luiz Brito Velozo, que pediu demissão no final do mês passado.	3	3	0	O ministro da Defesa , Nelson Jobim , informou no fim da noite desta terça-feira que a economista Solange Vieira , de 38 anos , será a nova presidente da Agência Nacional de Aviação Civil ( Anac ) . Braço direito do peemedebista desde sua posse , ela é funcionária de carreira do BNDES e comandou a Secretaria de Previdência Complementar no governo Fernando Henrique Cardoso . Como os diretores de agências têm mandato de cinco anos , só podem sair por renúncia , decisão judicial ou acusação de improbidade administrativa . Uma da três vagas será ocupada pelo major-brigadeiro Allemander Jesus Pereira Filho , indicado para exercer o cargo em substituição a Jorge Luiz Brito Velozo , que pediu demissão no final do mês passado . Cobrado por familiares de vítimas do acidente da TAM e pela oposição , dificilmente o relator irá sugerir o indiciamento de Zuanazzi .
Cobrado por familiares de vítimas do acidente da TAM e pela oposição, dificilmente o relator irá sugerir o indiciamento de Zuanazzi.	3	4	0	O ministro da Defesa , Nelson Jobim , informou no fim da noite desta terça-feira que a economista Solange Vieira , de 38 anos , será a nova presidente da Agência Nacional de Aviação Civil ( Anac ) . Braço direito do peemedebista desde sua posse , ela é funcionária de carreira do BNDES e comandou a Secretaria de Previdência Complementar no governo Fernando Henrique Cardoso . Como os diretores de agências têm mandato de cinco anos , só podem sair por renúncia , decisão judicial ou acusação de improbidade administrativa . Uma da três vagas será ocupada pelo major-brigadeiro Allemander Jesus Pereira Filho , indicado para exercer o cargo em substituição a Jorge Luiz Brito Velozo , que pediu demissão no final do mês passado . Cobrado por familiares de vítimas do acidente da TAM e pela oposição , dificilmente o relator irá sugerir o indiciamento de Zuanazzi .
